Electorate,PollingPlaceName,VenueName,Address,Locality
St Albans,Albion North,Albion North Primary School,67-73 Furlong Rd       ,Sunshine North
St Albans,Ardeer,Ardeer Primary School,Suspension St        ,Ardeer
St Albans,Kealba,St Paul's Kealba Catholic College,230-240 Sunshine Ave       ,Kealba
St Albans,Keilor Downs,Keilor Views Primary School,Swindon Crescent        ,Keilor Downs
St Albans,Kings Park,Copperfield College - Kings Park Campus,Kambalda Circuit        ,Kings Park
St Albans,Monmia,Monmia Primary School,Copernicus Way        ,Keilor Downs
St Albans,St Albans,St Albans Heights Primary School,Norwich St        ,St Albans
St Albans,St Albans East,St Albans East Primary School,Station Ave        ,St Albans East
St Albans,St Albans North,St Albans North Primary School,George St        ,St Albans North
St Albans,St Albans South,University Park Primary School,17 Lister St       ,St Albans
St Albans,St Albans South East,Jackson Special School,40 Mulhall Drive       ,St Albans
St Albans,St Albans West,Victoria University Secondary College - Brimbank Campus,5A Jamieson St       ,St Albans
St Albans,Sunshine,Sunshine Primary School,69 Hampshire Rd       ,Sunshine
St Albans,Sunshine North,Sunshine North Primary School,Suffolk Rd        ,Sunshine North
St Albans,Sunvale,Sunshine Harvester School,132 Hertford Rd       ,Sunshine
Sunbury,Bulla,Bulla Fire Station,Green St        ,Bulla
Sunbury,Diggers Rest,Diggers Rest Primary School,Plumpton Rd        ,Diggers Rest
Sunbury,Gladstone Park,Gladstone Park Secondary College,Taylor Drive        ,Gladstone Park
Sunbury,Gladstone Views,Gladstone Views Primary School,Carrick Drive        ,Gladstone Park
Sunbury,Goonawarra,Goonawarra Primary School,Gullane Drive        ,Sunbury
Sunbury,Gowanbrae,Gowanbrae Community House,2A Marigold Crescent       ,Gowanbrae
Sunbury,Jacksons Hill,Sunbury Primary School,The Heights        ,Sunbury
Sunbury,Melbourne Airport,Melbourne Airport - Terminal 1 QANTAS Check In,Airport Drive        ,Melbourne Airport
Sunbury,Sunbury,Sunbury Secondary College,30 Racecourse Rd       ,Sunbury
Sunbury,Sunbury Central,Distinctive Options,24 Macedon St (access via Stawell Street)   ,Sunbury
Sunbury,Sunbury Heights,Sunbury Downs Secondary College,Mitchells Lane        ,Sunbury
Sunbury,Sunbury North,Kismet Park Primary School,43354 McEwen Drive       ,Sunbury
Sunbury,Sunbury North West,Killara Primary School,61 Phillip Drive       ,Sunbury
Sunbury,Sunbury West,Sunbury West Primary School,Elizabeth Drive        ,Sunbury West
Sunbury,Tullamarine,Tullamarine Primary School,Broadmeadows Rd (access via Eumarella Street)    ,Tullamarine
Sydenham,Delahey,MacKellar Primary School,29-35 Goldsmith Ave       ,Delahey
Sydenham,Hillside,Sydenham-Hillside Primary School - Hillside Campus,Wattle Valley Drive       ,Hillside
Sydenham,Kings Park,Copperfield College - Kings Park Campus,Kambalda Circuit        ,Kings Park
Sydenham,Parkwood Green,Parkwood Green Primary School,corner Gourlay Rd and Community Hub    ,Hillside
Sydenham,Springside,Caroline Springs College - Springside Campus,Becca Way        ,Caroline Springs
Sydenham,Sydenham,Sydenham-Hillside Primary School - Sydenham Campus,Community Hub        ,Sydenham
Sydenham,Sydenham East,Catholic Regional College Sydenham,380 Sydenham Rd (access via Pecks Road)   ,Sydenham
Sydenham,Sydenham West,Brimbank City Salvation Army Church,2a Roseleigh Blvd       ,Sydenham
Sydenham,Taylors Hill,Taylors Hill Primary School,corner Loddon Drive and Watervale Blvd    ,Taylors Hill
Sydenham,Taylors Lakes,Taylors Lakes Primary School,Chichester Drive        ,Taylors Lakes
Sydenham,Taylors Lakes Central,Taylors Lakes Secondary College,14246 Parmelia Drive       ,Taylors Lakes
Sydenham,Taylors Lakes North,Overnewton Anglican Community College - Taylors Lakes Campus,39-57 Robertsons Rd       ,Taylors Lakes
Tarneit,Bellbridge,Central Park Community Centre,80 Lonsdale Circuit       ,Hoppers Crossing
Tarneit,Bellbridge East,Bellbridge Primary School,120 Bellbridge Drive (access via Matlock Street)   ,Hoppers Crossing
Tarneit,Cambridge,Cambridge Primary School,Carruthers Drive        ,Hoppers Crossing
Tarneit,Derrimut,Derrimut Heath Primary School,31 Sycamore St       ,Hoppers Crossing
Tarneit,Mossfiel,Mossfiel Primary School,Langridge St        ,Hoppers Crossing
Tarneit,Tarneit,Baden Powell P-9 College - Tarneit Campus,81-97 Baden Powell Drive      ,Tarneit
Tarneit,Tarneit East,Thomas Carr College,35 Thomas Carr Drive      ,Tarneit
Tarneit,Tarneit North,Tarneit P-9 School,corner Crossways Ave & Brinbrook St    ,Tarneit
Tarneit,The Grange,The Grange P-12 College,Deloraine Drive        ,Hoppers Crossing
Tarneit,Truganina South,Truganina South Primary School,43178 Parkvista Drive (access via Federation Boulevard)   ,Truganina
Tarneit,Westgrove,Westgrove Primary School,corner Danube Drive and Thames Blvd    ,Werribee
Thomastown,Epping,Epping Primary School,805 High St       ,Epping
Thomastown,Epping North,St Mary of the Cross Mackillop Primary School,47 Farmhouse Blvd       ,Epping North
Thomastown,Epping Views,Epping Views Primary School,20 Mansfield St       ,Epping North
Thomastown,Lalor,Lalor Secondary College,corner David St and Dalton Rd    ,Lalor
Thomastown,Lalor East,Lalor East Primary School,35-39 Cleveland St       ,Thomastown
Thomastown,Lalor North,Lalor North Primary School,2 Derna Crescent       ,Lalor
Thomastown,Lalor North East,Lalor North Secondary College,114 Childs Rd       ,Epping
Thomastown,Lalor Park,Outer Northern Trade Training Centre,407 High St       ,Lalor
Thomastown,Lalor South,Barry Road Community Activity Centre,36 Barry Rd       ,Thomastown
Thomastown,Lalor West,St Catherine's Catholic Primary School,2 Lascelles Drive       ,Lalor West
Thomastown,Merrilands,Ruthven Secondary College,Merrilands Rd        ,Reservoir
Thomastown,Norris Bank,Norris Bank Primary School,146 Settlement Rd       ,Bundoora
Thomastown,Ruthven,St Joseph the Worker Primary School,79 Wilson Blvd       ,Reservoir North
Thomastown,Thomastown,Thomastown Primary School,Spring St        ,Thomastown
Thomastown,Thomastown East,Thomastown East Primary School,82 Cedar St       ,Thomastown
Thomastown,Thomastown Meadows,Thomastown Meadows Primary School,corner Diplomat Drive and Endeavour Ave    ,Thomastown
Thomastown,Thomastown West,Thomastown Secondary College,80-96 Main St       ,Thomastown
Warrandyte,Beverley Hills,Beverley Hills Primary School,Cassowary St        ,Doncaster East
Warrandyte,Donburn,Donburn Primary School,24-28 Colchester Drive       ,Doncaster East
Warrandyte,Doncaster East,East Doncaster Secondary College,20 George St       ,Doncaster East
Warrandyte,Doncaster Gardens,Doncaster Gardens Primary School,corner Sandhurst Ave and Dehnert St    ,Doncaster East
Warrandyte,Doncaster Heights,Ss Peter & Paul Catholic Parish,23 Leeds St       ,Doncaster East
Warrandyte,Donvale,Whitefriars College,156 Park Rd       ,Donvale
Warrandyte,Gumnut Gully,Gumnut Gully Kindergarten,58-60 Larnoo Drive       ,Doncaster East
Warrandyte,Milgate,Milgate Primary School,Landscape Drive        ,Doncaster East
Warrandyte,North Warrandyte,North Warrandyte Family Centre,184 Research-Warrandyte Rd       ,North Warrandyte
Warrandyte,Park Orchards,Park Orchards Community Centre,Aviemore Ave        ,Park Orchards
Warrandyte,Ringwood Heights,Ringwood Heights Primary School,Summit Crescent        ,Ringwood
Warrandyte,Ringwood North,Ringwood North Primary School,172 Oban Rd       ,Ringwood
Warrandyte,Serpell,Serpell Primary School,Burleigh Drive (access via Tuckers Road)    ,Templestowe Lower
Warrandyte,The Pines,Deep Creek Anglican Church Hall,460 Blackburn Rd       ,Doncaster East
Warrandyte,Tunstall,Donvale Primary School,Elata St (access via Argyle Street)    ,Donvale
Warrandyte,Warrandyte,Warrandyte Primary School,Forbes St        ,Warrandyte
Warrandyte,Warrandyte South,Youth Dimension,58-64 Hall Rd       ,Warrandyte South
Warrandyte,Warranwood,Warranwood Primary School,1 Wellington Park Drive      ,Warranwood
Warrandyte,Wonga Park,Wonga Park Primary School,41 Dudley Rd       ,Wonga Park
Wendouree,Alfredton,McCallum Community Centre,29 Learmonth St       ,Alfredton
Wendouree,Alfredton West,Alfredton Primary School,Cuthberts Rd        ,Alfredton
Wendouree,Ballarat Central,Dana Street Primary School,401 Dana St       ,Ballarat
Wendouree,Ballarat North,Ballarat North Primary School,513 Landsborough St       ,Ballarat North
Wendouree,Ballarat North West,Pleasant Street Primary School,Pleasant St North       ,Ballarat
Wendouree,Ballarat South,St Aloysius Primary School,800 Ripon St       ,South Redan
Wendouree,Ballarat South West,Urquhart Park Primary School,49 Inkerman St       ,Newington
Wendouree,Black Hill,Black Hill Primary School,601 Chisholm St       ,Black Hill
Wendouree,Caledonian,Caledonian Primary School,Thompson St        ,Brown Hill
Wendouree,Delacombe,Delacombe Primary School,110-120 Greenhalghs Rd       ,Delacombe
Wendouree,Skipton Street,Skipton Street Uniting Church,corner Skipton and Darling Streets     ,Redan
Wendouree,The Stockade,St Alipius Primary School,106-108 Victoria St       ,Ballarat East
Wendouree,Wendouree,Ballarat and Queens Grammar,201 Forest St       ,Wendouree
Wendouree,Wendouree East,Linda Brown Pre-School,College St        ,Wendouree
Wendouree,Wendouree North,Forest Street Primary School,400B Forest St       ,Wendouree
Wendouree,Wendouree West,Yuille Park Community College,Violet Grove        ,Wendouree
Werribee,Galvin Park,Werribee Church of Christ,200 Tarneit Rd       ,Werribee
Werribee,Glenorden,Wyndham Park Primary School,59-77 Kookaburra Ave       ,Werribee
Werribee,Iramoo,Iramoo Primary School,McGrath Rd (access via Westbourne Drive)    ,Wyndham Vale
Werribee,Little River,Little River Primary School,21 Flinders St       ,Little River
Werribee,Manor Lakes,Manor Lakes P-12 Specialist College,18295 Minindee Rd       ,Wyndham Vale
Werribee,Manorvale,Manorvale Primary School,232-246 Greaves St North      ,Werribee
Werribee,Thomas Chirnside,Thomas Chirnside Primary School,85 Walls Rd (access via Racecourse Road)   ,Werribee
Werribee,Werribee,Werribee Secondary College,45 Duncans Rd       ,Werribee
Werribee,Werribee Central,Werribee Primary School,2 Deutgam St       ,Werribee
Werribee,Werribee South,MacKillop College - St Mary's Campus,corner Whites and O'Connors Roads     ,Werribee South
Werribee,Westgrove,Westgrove Primary School,corner Danube Drive and Thames Blvd    ,Werribee
Werribee,Woodville,Woodville Primary School,33-57 Warringa Crescent       ,Hoppers Crossing
Williamstown,Altona North,St Leo the Great Catholic Church,387-389 Mason St (access via Fourth Ave)   ,Altona North
Williamstown,Brooklyn,Driver Education Centre of Australia,29-45 Millers Rd       ,Brooklyn
Williamstown,Footscray Central,Macedonian Church Hall,83 Victoria St       ,Footscray
Williamstown,Kingsville,Kingsville Primary School,58 Bishop St       ,Kingsville
Williamstown,Kingsville South,Wembley Primary School,Wembley Ave        ,Yarraville
Williamstown,Newport,Newport Lakes Primary School,Elizabeth St        ,Newport
Williamstown,Newport East,Home Road Kindergarten,44 Home Rd       ,Newport
Williamstown,Newport West,Bayside Secondary College - Paisley Campus,43 Blenheim Rd       ,Newport
Williamstown,Seddon,Seddon Uniting Church Hall,71 Gamon St       ,Seddon
Williamstown,Spotswood,Spotswood Primary School,Corner of Reed St & Melbourne Rd   ,Spotswood
Williamstown,Spotswood West,South Kingsville Community Centre,43 Paxton St       ,South Kingsville
Williamstown,Williamstown,Williamstown Town Hall,104 Ferguson St       ,Williamstown
Williamstown,Williamstown South,Williamstown Primary School,105 Cecil St (access via Electra Street)   ,Williamstown
Williamstown,Williamstown West,Bayside Secondary College - Williamstown Campus,35 Kororoit Creek Rd      ,Williamstown
Williamstown,Yarraville,Yarraville Community Centre,59 Francis St       ,Yarraville
Williamstown,Yarraville Central,Yarraville Senior Citizens Centre,48 Fehon St       ,Yarraville
Yan Yean,Beveridge,Beveridge Primary School,Arrowsmith St        ,Beveridge
Yan Yean,Diamond Creek,Sacred Heart Parish Hall,25 Gipson St       ,Diamond Creek
Yan Yean,Diamond Creek East,Diamond Valley College,165-179 Main Hurstbridge Rd      ,Diamond Creek
Yan Yean,Doreen,Ivanhoe Grammar School - Plenty Campus,730 Bridge Inn Rd      ,Doreen
Yan Yean,Hurstbridge,Hurstbridge Primary School,Main Rd        ,Hurstbridge
Yan Yean,Laurimar,Laurimar Primary School,Armidale Rd        ,Laurimar
Yan Yean,Mernda,Mernda Primary School,25 Everton Drive       ,Mernda
Yan Yean,Morang South,Morang South Primary School,77 Gorge Rd       ,South Morang
Yan Yean,Plenty,Plenty Community Hall,Memorial Drive        ,Plenty
Yan Yean,Wallan,Wallan Primary School,Queen St        ,Wallan
Yan Yean,Wallan South,Wallan Secondary College,100 Duke St       ,Wallan
Yan Yean,Wattle Glen,Wattle Glen Primary School,Reynolds Rd        ,Wattle Glen
Yan Yean,Whittlesea,Whittlesea Secondary College,55 Laurel St       ,Whittlesea
Yan Yean,Yarrambat,Yarrambat Primary School,corner Yan Yean and Ironbark Roads    ,Yarrambat
Yuroke,Craigieburn,Craigieburn Leisure Centre,127 Craigieburn Rd       ,Craigieburn
Yuroke,Craigieburn Central,Craigieburn Primary School,87-91 Grand Blvd       ,Craigiburn
Yuroke,Craigieburn South,Craigieburn Secondary College,102 Hothlyn Drive       ,Craigiburn
Yuroke,Craigieburn West,Willmott Park Primary School,54-56 Dorchester Rd       ,Craigiburn
Yuroke,Greenvale,Greenvale Primary School,Bradford Ave        ,Greenvale
Yuroke,Greenvale South,Greenvale Recreation Centre,27 Barrymore Rd       ,Greenvale
Yuroke,Mickleham,Mickleham Primary School,1880 Mickleham Rd       ,Mickleham
Yuroke,Mount Ridley,Mount Ridley P-12 College,10990 Hampton St       ,Craigieburn
Yuroke,Roxburgh Homestead,Roxburgh Homestead Primary School,McPherson Blvd        ,Roxburgh Park
Yuroke,Roxburgh Rise,Roxburgh Rise Primary School,corner Lockwood Drive and Bluebird Way    ,Roxburgh Park
Yuroke,Somerton,Good Samaritan Catholic School,43129 Southern Cross Drive      ,Roxburgh Park
Yuroke,Westmeadows,Westmeadows Primary School,Riddell St        ,Westmeadows
